Number of robot passes: 120

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
1    1   1    95.5     0        0    
2    1   2    82.71    47.75    30   
3    1   3    47.75    82.71    60   
4    1   4    0        95.5     90   
5    1   5    -47.75   82.71    120  
6    1   6    -82.71   47.75    150  
7    1   7    -95.5    0        180  
8    1   8    -82.71   -47.75   210  
9    1   9    -47.75   -82.71   240  
10   1   10   0        -95.5    270  
11   1   11   47.75    -82.71   300  
12   1   12   82.71    -47.75   330  
13   2   1    70.5     0        0    
14   2   2    49.85    49.85    45   
15   2   3    0        70.5     90   
16   2   4    -49.85   49.85    135  
17   2   5    -70.5    0        180  
18   2   6    -49.85   -49.85   225  
19   2   7    0        -70.5    270  
20   2   8    49.85    -49.85   315  

Tray 2
No  Cir Pos     X        Y     Angle 
1    1   1    95.5     0        0    
2    1   2    82.71    47.75    30   
3    1   3    47.75    82.71    60   
4    1   4    0        95.5     90   
5    1   5    -47.75   82.71    120  
6    1   6    -82.71   47.75    150  
7    1   7    -95.5    0        180  
8    1   8    -82.71   -47.75   210  
9    1   9    -47.75   -82.71   240  
10   1   10   0        -95.5    270  
11   1   11   47.75    -82.71   300  
12   1   12   82.71    -47.75   330  
13   2   1    70.5     0        0    
14   2   2    49.85    49.85    45   
15   2   3    0        70.5     90   
16   2   4    -49.85   49.85    135  
17   2   5    -70.5    0        180  
18   2   6    -49.85   -49.85   225  
19   2   7    0        -70.5    270  
20   2   8    49.85    -49.85   315  

Tray 3
No  Cir Pos     X        Y     Angle 
1    1   1    95.5     0        0    
2    1   2    82.71    47.75    30   
3    1   3    47.75    82.71    60   
4    1   4    0        95.5     90   
5    1   5    -47.75   82.71    120  
6    1   6    -82.71   47.75    150  
7    1   7    -95.5    0        180  
8    1   8    -82.71   -47.75   210  
9    1   9    -47.75   -82.71   240  
10   1   10   0        -95.5    270  
11   1   11   47.75    -82.71   300  
12   1   12   82.71    -47.75   330  
13   2   1    70.5     0        0    
14   2   2    49.85    49.85    45   
15   2   3    0        70.5     90   
16   2   4    -49.85   49.85    135  
17   2   5    -70.5    0        180  
18   2   6    -49.85   -49.85   225  
19   2   7    0        -70.5    270  
20   2   8    49.85    -49.85   315  

Tray 4
No  Cir Pos     X        Y     Angle 
1    1   1    95.5     0        0    
2    1   2    82.71    47.75    30   
3    1   3    47.75    82.71    60   
4    1   4    0        95.5     90   
5    1   5    -47.75   82.71    120  
6    1   6    -82.71   47.75    150  
7    1   7    -95.5    0        180  
8    1   8    -82.71   -47.75   210  
9    1   9    -47.75   -82.71   240  
10   1   10   0        -95.5    270  
11   1   11   47.75    -82.71   300  
12   1   12   82.71    -47.75   330  
13   2   1    70.5     0        0    
14   2   2    49.85    49.85    45   
15   2   3    0        70.5     90   
16   2   4    -49.85   49.85    135  
17   2   5    -70.5    0        180  
18   2   6    -49.85   -49.85   225  
19   2   7    0        -70.5    270  
20   2   8    49.85    -49.85   315  

Tray 5
No  Cir Pos     X        Y     Angle 
1    1   1    95.5     0        0    
2    1   2    82.71    47.75    30   
3    1   3    47.75    82.71    60   
4    1   4    0        95.5     90   
5    1   5    -47.75   82.71    120  
6    1   6    -82.71   47.75    150  
7    1   7    -95.5    0        180  
8    1   8    -82.71   -47.75   210  
9    1   9    -47.75   -82.71   240  
10   1   10   0        -95.5    270  
11   1   11   47.75    -82.71   300  
12   1   12   82.71    -47.75   330  
13   2   1    70.5     0        0    
14   2   2    49.85    49.85    45   
15   2   3    0        70.5     90   
16   2   4    -49.85   49.85    135  
17   2   5    -70.5    0        180  
18   2   6    -49.85   -49.85   225  
19   2   7    0        -70.5    270  
20   2   8    49.85    -49.85   315  

Tray 6
No  Cir Pos     X        Y     Angle 
1    1   1    95.5     0        0    
2    1   2    82.71    47.75    30   
3    1   3    47.75    82.71    60   
4    1   4    0        95.5     90   
5    1   5    -47.75   82.71    120  
6    1   6    -82.71   47.75    150  
7    1   7    -95.5    0        180  
8    1   8    -82.71   -47.75   210  
9    1   9    -47.75   -82.71   240  
10   1   10   0        -95.5    270  
11   1   11   47.75    -82.71   300  
12   1   12   82.71    -47.75   330  
13   2   1    70.5     0        0    
14   2   2    49.85    49.85    45   
15   2   3    0        70.5     90   
16   2   4    -49.85   49.85    135  
17   2   5    -70.5    0        180  
18   2   6    -49.85   -49.85   225  
19   2   7    0        -70.5    270  
20   2   8    49.85    -49.85   315  
