Number of robot passes: 144

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
1    1   1    94.5     0        0    
2    1   2    85.14    41       25.7 
3    1   3    58.92    73.88    51.4 
4    1   4    21.03    92.13    77.1 
5    1   5    -21.03   92.13    102.9
6    1   6    -58.92   73.88    128.6
7    1   7    -85.14   41       154.3
8    1   8    -94.5    0        180  
9    1   9    -85.14   -41      205.7
10   1   10   -58.92   -73.88   231.4
11   1   11   -21.03   -92.13   257.1
12   1   12   21.03    -92.13   282.9
13   1   13   58.92    -73.88   308.6
14   1   14   85.14    -41      334.3
15   2   1    69.5     0        0    
16   2   2    56.23    40.85    36   
17   2   3    21.48    66.1     72   
18   2   4    -21.48   66.1     108  
19   2   5    -56.23   40.85    144  
20   2   6    -69.5    0        180  
21   2   7    -56.23   -40.85   216  
22   2   8    -21.48   -66.1    252  
23   2   9    21.48    -66.1    288  
24   2   10   56.23    -40.85   324  

Tray 2
No  Cir Pos     X        Y     Angle 
1    1   1    94.5     0        0    
2    1   2    85.14    41       25.7 
3    1   3    58.92    73.88    51.4 
4    1   4    21.03    92.13    77.1 
5    1   5    -21.03   92.13    102.9
6    1   6    -58.92   73.88    128.6
7    1   7    -85.14   41       154.3
8    1   8    -94.5    0        180  
9    1   9    -85.14   -41      205.7
10   1   10   -58.92   -73.88   231.4
11   1   11   -21.03   -92.13   257.1
12   1   12   21.03    -92.13   282.9
13   1   13   58.92    -73.88   308.6
14   1   14   85.14    -41      334.3
15   2   1    69.5     0        0    
16   2   2    56.23    40.85    36   
17   2   3    21.48    66.1     72   
18   2   4    -21.48   66.1     108  
19   2   5    -56.23   40.85    144  
20   2   6    -69.5    0        180  
21   2   7    -56.23   -40.85   216  
22   2   8    -21.48   -66.1    252  
23   2   9    21.48    -66.1    288  
24   2   10   56.23    -40.85   324  

Tray 3
No  Cir Pos     X        Y     Angle 
1    1   1    94.5     0        0    
2    1   2    85.14    41       25.7 
3    1   3    58.92    73.88    51.4 
4    1   4    21.03    92.13    77.1 
5    1   5    -21.03   92.13    102.9
6    1   6    -58.92   73.88    128.6
7    1   7    -85.14   41       154.3
8    1   8    -94.5    0        180  
9    1   9    -85.14   -41      205.7
10   1   10   -58.92   -73.88   231.4
11   1   11   -21.03   -92.13   257.1
12   1   12   21.03    -92.13   282.9
13   1   13   58.92    -73.88   308.6
14   1   14   85.14    -41      334.3
15   2   1    69.5     0        0    
16   2   2    56.23    40.85    36   
17   2   3    21.48    66.1     72   
18   2   4    -21.48   66.1     108  
19   2   5    -56.23   40.85    144  
20   2   6    -69.5    0        180  
21   2   7    -56.23   -40.85   216  
22   2   8    -21.48   -66.1    252  
23   2   9    21.48    -66.1    288  
24   2   10   56.23    -40.85   324  

Tray 4
No  Cir Pos     X        Y     Angle 
1    1   1    94.5     0        0    
2    1   2    85.14    41       25.7 
3    1   3    58.92    73.88    51.4 
4    1   4    21.03    92.13    77.1 
5    1   5    -21.03   92.13    102.9
6    1   6    -58.92   73.88    128.6
7    1   7    -85.14   41       154.3
8    1   8    -94.5    0        180  
9    1   9    -85.14   -41      205.7
10   1   10   -58.92   -73.88   231.4
11   1   11   -21.03   -92.13   257.1
12   1   12   21.03    -92.13   282.9
13   1   13   58.92    -73.88   308.6
14   1   14   85.14    -41      334.3
15   2   1    69.5     0        0    
16   2   2    56.23    40.85    36   
17   2   3    21.48    66.1     72   
18   2   4    -21.48   66.1     108  
19   2   5    -56.23   40.85    144  
20   2   6    -69.5    0        180  
21   2   7    -56.23   -40.85   216  
22   2   8    -21.48   -66.1    252  
23   2   9    21.48    -66.1    288  
24   2   10   56.23    -40.85   324  

Tray 5
No  Cir Pos     X        Y     Angle 
1    1   1    94.5     0        0    
2    1   2    85.14    41       25.7 
3    1   3    58.92    73.88    51.4 
4    1   4    21.03    92.13    77.1 
5    1   5    -21.03   92.13    102.9
6    1   6    -58.92   73.88    128.6
7    1   7    -85.14   41       154.3
8    1   8    -94.5    0        180  
9    1   9    -85.14   -41      205.7
10   1   10   -58.92   -73.88   231.4
11   1   11   -21.03   -92.13   257.1
12   1   12   21.03    -92.13   282.9
13   1   13   58.92    -73.88   308.6
14   1   14   85.14    -41      334.3
15   2   1    69.5     0        0    
16   2   2    56.23    40.85    36   
17   2   3    21.48    66.1     72   
18   2   4    -21.48   66.1     108  
19   2   5    -56.23   40.85    144  
20   2   6    -69.5    0        180  
21   2   7    -56.23   -40.85   216  
22   2   8    -21.48   -66.1    252  
23   2   9    21.48    -66.1    288  
24   2   10   56.23    -40.85   324  

Tray 6
No  Cir Pos     X        Y     Angle 
1    1   1    94.5     0        0    
2    1   2    85.14    41       25.7 
3    1   3    58.92    73.88    51.4 
4    1   4    21.03    92.13    77.1 
5    1   5    -21.03   92.13    102.9
6    1   6    -58.92   73.88    128.6
7    1   7    -85.14   41       154.3
8    1   8    -94.5    0        180  
9    1   9    -85.14   -41      205.7
10   1   10   -58.92   -73.88   231.4
11   1   11   -21.03   -92.13   257.1
12   1   12   21.03    -92.13   282.9
13   1   13   58.92    -73.88   308.6
14   1   14   85.14    -41      334.3
15   2   1    69.5     0        0    
16   2   2    56.23    40.85    36   
17   2   3    21.48    66.1     72   
18   2   4    -21.48   66.1     108  
19   2   5    -56.23   40.85    144  
20   2   6    -69.5    0        180  
21   2   7    -56.23   -40.85   216  
22   2   8    -21.48   -66.1    252  
23   2   9    21.48    -66.1    288  
24   2   10   56.23    -40.85   324  
